,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,19977,2057.64,65,0.33%,0,0.00%
18-44,183183,55088,3007.27,300,0.54%,51,0.09%
45-64,116628,28503,2443.92,674,2.36%,248,0.87%
65-74,46724,7583,1622.93,607,8.00%,279,3.68%
75+,31987,4877,1524.68,803,16.47%,582,11.93%
,,,,,,,
Females,244460,62260,2546.84,1214,1.95%,519,0.83%
Males,231149,52967,2291.47,1232,2.33%,641,1.21%
Unknown,N/A,801,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1352,1151.91,22,1.63%,9,0.67%
Black,42291,9310,2201.41,306,3.29%,108,1.16%
White,408000,79400,1946.08,2022,2.55%,1001,1.26%
Hawaiian/Pacific Islander,585,131,2239.32,5,3.82%,1,0.76%
Other ,12996,7470,5747.92,43,0.58%,6,0.08%
Unknown,N/A,18365,N/A,51,0.28%,35,0.19%
,,,,,,,
Hispanic,22336,4201,1880.82,96,2.29%,17,0.40%
Non-Hispanic,453273,72950,1609.41,2224,3.05%,1051,1.44%
Unknown,N/A,38877,N/A,129,0.33%,92,0.24%
,,,,,,,
Total,"475,609",116028,2439.57,2449,2.11%,1160,1.00%
