,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6078,627.72,28,0.46%,0,0.00%,,,
18-44,"173,546",24534,1413.69,182,0.74%,11,0.04%,,,
45-64,"116,740",13174,1128.49,373,2.83%,90,0.68%,,,
65-74,"40,633",3696,909.61,306,8.28%,142,3.84%,,,
75+,"28,440",2623,922.29,464,17.69%,377,14.37%,,,
,,,,,,,,,,
Females,242211,26520,1094.91,676,2.55%,287,1.08%,,,
Males,228102,23246,1019.11,673,2.90%,333,1.43%,,,
Unknown,N/A,339,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,611,541.33,13,2.13%,5,0.82%,,,
Black,41858,3733,891.82,153,4.10%,41,1.10%,,,
White,404469,38143,943.04,1129,2.96%,543,1.42%,,,
Hawaiian/Pacific Islander,470,59,1255.32,4,6.78%,0,0.00%,,,
Other ,12229,1616,1321.45,22,1.36%,3,0.19%,,,
Unknown,N/A,5943,N/A,32,0.54%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2696,1302.79,72,2.67%,6,0.22%,,,
Non-Hispanic,449619,37883,842.56,1226,3.24%,555,1.47%,,,
Unknown,N/A,9526,N/A,55,0.58%,59,0.62%,,,
,,,,,,,,,,
Total,"470,313",50105,1065.35,1353,2.70%,620,1.24%,,,
