,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,7250,746.75,31,0.43%,0,0.00%
18-44,183183,27590,1506.14,207,0.75%,15,0.05%
45-64,116628,14566,1248.93,414,2.84%,111,0.76%
65-74,46724,4050,866.79,342,8.44%,153,3.78%
75+,31987,2794,873.48,504,18.04%,395,14.14%
,,,,,,,
Females,244460,29744,1216.72,753,2.53%,302,1.02%
Males,231149,26089,1128.67,742,2.84%,372,1.43%
Unknown,N/A,417,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,653,556.36,15,2.30%,6,0.92%
Black,42291,4435,1048.69,177,3.99%,48,1.08%
White,408000,42390,1038.97,1244,2.93%,587,1.38%
Hawaiian/Pacific Islander,585,71,1213.68,4,5.63%,0,0.00%
Other ,12996,2147,1652.05,26,1.21%,5,0.23%
Unknown,N/A,6554,N/A,32,0.49%,28,0.43%
,,,,,,,
Hispanic,22336,2862,1281.34,76,2.66%,8,0.28%
Non-Hispanic,453273,42067,928.07,1357,3.23%,606,1.44%
Unknown,N/A,11321,N/A,65,0.57%,60,0.53%
,,,,,,,
Total,"475,609",56250,1182.69,1498,2.66%,674,1.20%
