,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6134,633.51,28,0.46%,0,0.00%,,,
18-44,"173,546",24725,1424.69,183,0.74%,11,0.04%,,,
45-64,"116,740",13266,1136.37,376,2.83%,91,0.69%,,,
65-74,"40,633",3704,911.57,306,8.26%,143,3.86%,,,
75+,"28,440",2633,925.81,466,17.70%,378,14.36%,,,
,,,,,,,,,,
Females,242211,26704,1102.51,680,2.55%,287,1.07%,,,
Males,228102,23417,1026.60,675,2.88%,336,1.43%,,,
Unknown,N/A,341,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,619,548.42,14,2.26%,5,0.81%,,,
Black,41858,3775,901.86,154,4.08%,42,1.11%,,,
White,404469,38475,951.25,1134,2.95%,545,1.42%,,,
Hawaiian/Pacific Islander,470,62,1319.15,4,6.45%,0,0.00%,,,
Other ,12229,1628,1331.26,22,1.35%,3,0.18%,,,
Unknown,N/A,5903,N/A,31,0.53%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2718,1313.42,72,2.65%,6,0.22%,,,
Non-Hispanic,449619,38291,851.63,1231,3.21%,558,1.46%,,,
Unknown,N/A,9453,N/A,56,0.59%,59,0.62%,,,
,,,,,,,,,,
Total,"470,313",50462,1072.95,1359,2.69%,623,1.23%,,,
