,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,22095,2275.79,71,0.32%,1,0.00%
18-44,183183,59734,3260.89,306,0.51%,60,0.10%
45-64,116628,31437,2695.49,714,2.27%,282,0.90%
65-74,46724,8494,1817.91,690,8.12%,312,3.67%
75+,31987,5609,1753.52,908,16.19%,650,11.59%
,,,,,,,
Females,244460,68618,2806.92,1342,1.96%,588,0.86%
Males,231149,57919,2505.70,1344,2.32%,717,1.24%
Unknown,N/A,832,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1532,1305.27,22,1.44%,9,0.59%
Black,42291,10337,2444.26,331,3.20%,122,1.18%
White,408000,88935,2179.78,2229,2.51%,1129,1.27%
Hawaiian/Pacific Islander,585,142,2427.35,5,3.52%,1,0.70%
Other ,12996,8360,6432.75,48,0.57%,8,0.10%
Unknown,N/A,18063,N/A,54,0.30%,36,0.20%
,,,,,,,
Hispanic,22336,4514,2020.95,102,2.26%,20,0.44%
Non-Hispanic,453273,84344,1860.78,2448,2.90%,1187,1.41%
Unknown,N/A,38511,N/A,139,0.36%,98,0.25%
,,,,,,,
Total,"475,609",127369,2678.02,2689,2.11%,1305,1.02%
