,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1339,138.29,11,0.82%,0,0.00%,,,
18-44,"173,546",7332,422.48,110,1.50%,5,0.07%,,,
45-64,"116,740",2830,242.42,155,5.48%,21,0.74%,,,
65-74,"40,633",759,186.79,78,10.28%,24,3.16%,,,
75+,"28,440",465,163.50,96,20.65%,49,10.54%,,,
,,,,,,,,,,
Females,242211,6585,271.87,238,3.61%,37,0.56%,,,
Males,228102,6061,265.71,211,3.48%,62,1.02%,,,
Unknown,N/A,79,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,141,124.92,3,2.13%,0,0.00%,,,
Black,41858,1211,289.31,84,6.94%,15,1.24%,,,
White,404469,9498,234.83,338,3.56%,80,0.84%,,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,,
Other ,12229,505,412.95,13,2.57%,2,0.40%,,,
Unknown,N/A,1340,N/A,8,0.60%,2,0.15%,,,
,,,,,,,,,,
Hispanic,20694,1291,623.85,49,3.80%,4,0.31%,,,
Non-Hispanic,449619,9909,220.39,389,3.93%,88,0.89%,,,
Unknown,N/A,1525,N/A,12,0.79%,7,0.46%,,,
,,,,,,,,,,
Total,"470,313",12725,270.56,450,3.54%,99,0.78%,,,
