,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13938,1435.62,49,0.35%,0,0.00%
18-44,183183,37794,2063.18,272,0.72%,40,0.11%
45-64,116628,19766,1694.79,584,2.95%,194,0.98%
65-74,46724,5393,1154.22,501,9.29%,234,4.34%
75+,31987,3636,1136.71,673,18.51%,472,12.98%
,,,,,,,
Females,244460,42640,1744.25,1032,2.42%,418,0.98%
Males,231149,37178,1608.40,1043,2.81%,522,1.40%
Unknown,N/A,709,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11737,847,721.65,19,2.24%,7,0.83%
Black,42291,6687,1581.19,253,3.78%,86,1.29%
White,408000,58397,1431.30,1721,2.95%,811,1.39%
Hawaiian/Pacific Islander,585,90,1538.46,4,4.44%,0,0.00%
Other ,12996,3957,3044.78,37,0.94%,6,0.15%
Unknown,N/A,10549,N/A,45,0.43%,30,0.28%
,,,,,,,
Hispanic,22336,3601,1612.20,89,2.47%,13,0.36%
Non-Hispanic,453273,57760,1274.29,1887,3.27%,851,1.47%
Unknown,N/A,19166,N/A,103,0.54%,76,0.40%
,,,,,,,
Total,"475,609",80527,1693.13,2079,2.58%,940,1.17%
