,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",942,97.29,9,0.96%,0,0.00%,,,
18-44,"173,546",5746,331.09,97,1.69%,5,0.09%,,,
45-64,"116,740",1925,164.90,116,6.03%,17,0.88%,,,
65-74,"40,633",493,121.33,49,9.94%,19,3.85%,,,
75+,"28,440",315,110.76,65,20.63%,32,10.16%,,,
,,,,,,,,,,
Females,242211,4865,200.86,172,3.54%,26,0.53%,,,
Males,228102,4502,197.37,164,3.64%,47,1.04%,,,
Unknown,N/A,54,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,115,101.89,2,1.74%,0,0.00%,,,
Black,41858,964,230.30,70,7.26%,10,1.04%,,,
White,404469,6842,169.16,243,3.55%,53,0.77%,,,
Hawaiian/Pacific Islander,470,27,574.47,4,14.81%,0,0.00%,,,
Other ,12229,438,358.17,9,2.05%,2,0.46%,,,
Unknown,N/A,1035,N/A,8,0.77%,8,0.77%,,,
,,,,,,,,,,
Hispanic,20694,1133,547.50,46,4.06%,5,0.44%,,,
Non-Hispanic,449619,7063,157.09,281,3.98%,56,0.79%,,,
Unknown,N/A,1225,N/A,9,0.73%,12,0.98%,,,
,,,,,,,,,,
Total,"470,313",9421,200.31,336,3.57%,73,0.77%,,,
