,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",1217,125.69,10,0.82%,0,0.00%,,
18-44,"173,546",6874,396.09,102,1.48%,5,0.07%,,
45-64,"116,740",2512,215.18,139,5.53%,21,0.84%,,
65-74,"40,633",674,165.88,65,9.64%,22,3.26%,,
75+,"28,440",406,142.76,80,19.70%,41,10.10%,,
,,,,,,,,,
Females,242211,6052,249.86,208,3.44%,29,0.48%,,
Males,228102,5573,244.32,188,3.37%,57,1.02%,,
Unknown,N/A,58,N/A,0,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,134,118.72,2,1.49%,0,0.00%,,
Black,41858,1129,269.72,78,6.91%,15,1.33%,,
White,404469,8610,212.87,294,3.41%,70,0.81%,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,
Other ,12229,482,394.15,11,2.28%,2,0.41%,,
Unknown,N/A,1300,N/A,7,0.54%,2,0.15%,,
,,,,,,,,,
Hispanic,20694,1235,596.79,49,3.97%,4,0.32%,,
Non-Hispanic,449619,8963,199.35,338,3.77%,79,0.88%,,
Unknown,N/A,1485,N/A,9,0.61%,6,0.40%,,
,,,,,,,,,
Total,"470,313",11683,248.41,396,3.39%,89,0.76%,,
