,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13457,1386.08,49,0.36%,0,0.00%
18-44,183183,36686,2002.70,257,0.70%,40,0.11%
45-64,116628,19145,1641.54,529,2.76%,180,0.94%
65-74,46724,5214,1115.91,483,9.26%,223,4.28%
75+,31987,3509,1097.01,650,18.52%,462,13.17%
,,,,,,,
Females,244460,41293,1689.15,982,2.38%,405,0.98%
Males,231149,36022,1558.39,982,2.73%,500,1.39%
Unknown,N/A,696,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11737,802,683.31,20,2.49%,7,0.87%
Black,42291,6520,1541.70,242,3.71%,84,1.29%
White,408000,56279,1379.39,1627,2.89%,779,1.38%
Hawaiian/Pacific Islander,585,44,752.14,4,9.09%,0,0.00%
Other ,12996,3865,2973.99,34,0.88%,5,0.13%
Unknown,N/A,10501,N/A,41,0.39%,30,0.29%
,,,,,,,
Hispanic,22336,3508,1570.56,86,2.45%,11,0.31%
Non-Hispanic,453273,55611,1226.88,1789,3.22%,822,1.48%
Unknown,N/A,18892,N/A,93,0.49%,72,0.38%
,,,,,,,
Total,"475,609",78011,1640.23,1968,2.52%,905,1.16%
