,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5809,599.94,27,0.46%,0,0.00%,,,
18-44,"173,546",23520,1355.26,170,0.72%,10,0.04%,,,
45-64,"116,740",12683,1086.43,347,2.74%,81,0.64%,,,
65-74,"40,633",3595,884.75,293,8.15%,140,3.89%,,,
75+,"28,440",2579,906.82,453,17.56%,364,14.11%,,,
,,,,,,,,,,
Females,242211,25532,1054.12,648,2.54%,271,1.06%,,,
Males,228102,22310,978.07,638,2.86%,324,1.45%,,,
Unknown,N/A,344,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,583,516.52,13,2.23%,5,0.86%,,,
Black,41858,3589,857.42,143,3.98%,35,0.98%,,,
White,404469,36464,901.53,1077,2.95%,524,1.44%,,,
Hawaiian/Pacific Islander,470,58,1234.04,4,6.90%,0,0.00%,,,
Other ,12229,1554,1270.75,22,1.42%,3,0.19%,,,
Unknown,N/A,5938,N/A,31,0.52%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2618,1265.10,71,2.71%,6,0.23%,,,
Non-Hispanic,449619,36034,801.43,1166,3.24%,532,1.48%,,,
Unknown,N/A,9534,N/A,53,0.56%,57,0.60%,,,
,,,,,,,,,,
Total,"470,313",48186,1024.55,1290,2.68%,595,1.23%,,,
