,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1087,112.26,10,0.92%,0,0.00%,,,
18-44,"173,546",6274,361.52,98,1.56%,5,0.08%,,,
45-64,"116,740",2167,185.63,130,6.00%,20,0.92%,,,
65-74,"40,633",571,140.53,62,10.86%,20,3.50%,,,
75+,"28,440",362,127.29,77,21.27%,39,10.77%,,,
,,,,,,,,,,
Females,242211,5393,222.66,198,3.67%,29,0.54%,,,
Males,228102,5012,219.73,179,3.57%,55,1.10%,,,
Unknown,N/A,56,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,131,116.06,2,1.53%,0,0.00%,,,
Black,41858,1021,243.92,74,7.25%,13,1.27%,,,
White,404469,7542,186.47,280,3.71%,67,0.89%,,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,,
Other ,12229,456,372.88,10,2.19%,2,0.44%,,,
Unknown,N/A,1019,N/A,7,0.69%,2,0.20%,,,
,,,,,,,,,,
Hispanic,20694,1191,575.53,48,4.03%,4,0.34%,,,
Non-Hispanic,449619,7871,175.06,319,4.05%,74,0.94%,,,
Unknown,N/A,1135,N/A,10,0.88%,6,0.53%,,,
,,,,,,,,,,
Total,"470,313",10461,222.43,374,3.58%,84,0.80%,,,
