,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",2024,209.03,13,0.64%,0,0.00%,,,
18-44,"173,546",10345,596.10,126,1.22%,6,0.06%,,,
45-64,"116,740",4593,393.44,192,4.18%,26,0.57%,,,
65-74,"40,633",1283,315.75,104,8.11%,38,2.96%,,,
75+,"28,440",859,302.04,156,18.16%,92,10.71%,,,
,,,,,,,,,,
Females,242211,9921,409.60,300,3.02%,60,0.60%,,,
Males,228102,9006,394.82,289,3.21%,102,1.13%,,,
Unknown,N/A,177,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,198,175.42,5,2.53%,1,0.51%,,,
Black,41858,1506,359.79,90,5.98%,19,1.26%,,,
White,404469,13849,342.40,469,3.39%,127,0.92%,,,
Hawaiian/Pacific Islander,470,36,765.96,4,11.11%,0,0.00%,,,
Other ,12229,650,531.52,13,2.00%,2,0.31%,,,
Unknown,N/A,2865,N/A,10,0.35%,13,0.45%,,,
,,,,,,,,,,
Hispanic,20694,1463,706.97,49,3.35%,7,0.48%,,,
Non-Hispanic,449619,13896,309.06,528,3.80%,135,0.97%,,,
Unknown,N/A,3745,N/A,14,0.37%,20,0.53%,,,
,,,,,,,,,,
Total,"470,313",19104,406.20,591,3.09%,162,0.85%,,,
