,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4666,481.90,22,0.47%,0,0.00%,,,
18-44,"173,546",20389,1174.85,150,0.74%,10,0.05%,,,
45-64,"116,740",10849,929.33,296,2.73%,67,0.62%,,,
65-74,"40,633",3062,753.57,233,7.61%,100,3.27%,,,
75+,"28,440",2268,797.47,383,16.89%,260,11.46%,,,
,,,,,,,,,,
Females,242211,21766,898.64,555,2.55%,191,0.88%,,,
Males,228102,19097,837.21,526,2.75%,246,1.29%,,,
Unknown,N/A,371,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,458,405.78,11,2.40%,3,0.66%,,,
Black,41858,2997,715.99,121,4.04%,31,1.03%,,,
White,404469,30135,745.05,894,2.97%,355,1.18%,,,
Hawaiian/Pacific Islander,470,48,1021.28,4,8.33%,1,2.08%,,,
Other ,12229,1223,1000.08,18,1.47%,3,0.25%,,,
Unknown,N/A,6373,N/A,36,0.56%,44,0.69%,,,
,,,,,,,,,,
Hispanic,20694,2325,1123.51,62,2.67%,9,0.39%,,,
Non-Hispanic,449619,28749,639.41,962,3.35%,374,1.30%,,,
Unknown,N/A,10160,N/A,60,0.59%,54,0.53%,,,
,,,,,,,,,,
Total,"470,313",41234,876.74,1084,2.63%,437,1.06%,,,
