,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6121,632.16,28,0.46%,0,0.00%,,,
18-44,"173,546",24682,1422.22,183,0.74%,11,0.04%,,,
45-64,"116,740",13240,1134.14,376,2.84%,91,0.69%,,,
65-74,"40,633",3706,912.07,306,8.26%,143,3.86%,,,
75+,"28,440",2630,924.75,466,17.72%,378,14.37%,,,
,,,,,,,,,,
Females,242211,26659,1100.65,680,2.55%,287,1.08%,,,
Males,228102,23379,1024.94,675,2.89%,336,1.44%,,,
Unknown,N/A,341,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,620,549.30,14,2.26%,5,0.81%,,,
Black,41858,3757,897.56,154,4.10%,42,1.12%,,,
White,404469,38387,949.07,1133,2.95%,545,1.42%,,,
Hawaiian/Pacific Islander,470,61,1297.87,4,6.56%,0,0.00%,,,
Other ,12229,1623,1327.17,22,1.36%,3,0.18%,,,
Unknown,N/A,5931,N/A,32,0.54%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2714,1311.49,72,2.65%,6,0.22%,,,
Non-Hispanic,449619,38168,848.90,1231,3.23%,558,1.46%,,,
Unknown,N/A,9497,N/A,56,0.59%,59,0.62%,,,
,,,,,,,,,,
Total,"470,313",50379,1071.18,1359,2.70%,623,1.24%,,,
