,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,14328,1475.79,50,0.35%,0,0.00%
18-44,183183,38897,2123.40,285,0.73%,43,0.11%
45-64,116628,20367,1746.32,627,3.08%,210,1.03%
65-74,46724,5560,1189.97,518,9.32%,240,4.32%
75+,31987,3746,1171.10,701,18.71%,496,13.24%
,,,,,,,
Females,244460,43938,1797.35,1086,2.47%,438,1.00%
Males,231149,38261,1655.25,1092,2.85%,551,1.44%
Unknown,N/A,699,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,893,760.84,20,2.24%,7,0.78%
Black,42291,6835,1616.18,261,3.82%,91,1.33%
White,408000,60338,1478.87,1810,3.00%,854,1.42%
Hawaiian/Pacific Islander,585,95,1623.93,4,4.21%,0,0.00%
Other ,12996,4095,3150.97,37,0.90%,6,0.15%
Unknown,N/A,10642,N/A,49,0.46%,31,0.29%
,,,,,,,
Hispanic,22336,3681,1648.01,92,2.50%,13,0.35%
Non-Hispanic,453273,59634,1315.63,1980,3.32%,897,1.50%
Unknown,N/A,19583,N/A,109,0.56%,79,0.40%
,,,,,,,
Total,"475,609",82898,1742.99,2181,2.63%,989,1.19%
