,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,14117,1454.06,50,0.35%,0,0.00%
18-44,183183,38351,2093.59,278,0.72%,41,0.11%
45-64,116628,20082,1721.88,604,3.01%,200,1.00%
65-74,46724,5475,1171.77,505,9.22%,236,4.31%
75+,31987,3692,1154.22,686,18.58%,476,12.89%
,,,,,,,
Females,244460,43283,1770.56,1061,2.45%,425,0.98%
Males,231149,37732,1632.37,1059,2.81%,528,1.40%
Unknown,N/A,702,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,864,736.13,20,2.31%,7,0.81%
Black,42291,6771,1601.05,257,3.80%,87,1.28%
White,408000,59370,1455.15,1760,2.96%,823,1.39%
Hawaiian/Pacific Islander,585,92,1572.65,4,4.35%,0,0.00%
Other ,12996,4018,3091.72,36,0.90%,6,0.15%
Unknown,N/A,10602,N/A,46,0.43%,30,0.28%
,,,,,,,
Hispanic,22336,3643,1631.00,90,2.47%,13,0.36%
Non-Hispanic,453273,58651,1293.94,1928,3.29%,863,1.47%
Unknown,N/A,19423,N/A,105,0.54%,77,0.40%
,,,,,,,
Total,"475,609",81717,1718.16,2123,2.60%,953,1.17%
