,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",805,83.14,9,1.12%,0,0.00%,,,
18-44,"173,546",4943,284.82,85,1.72%,5,0.10%,,,
45-64,"116,740",1697,145.37,104,6.13%,16,0.94%,,,
65-74,"40,633",431,106.07,41,9.51%,14,3.25%,,,
75+,"28,440",284,99.86,58,20.42%,29,10.21%,,,
,,,,,,,,,,
Females,242211,4231,174.68,154,3.64%,24,0.57%,,,
Males,228102,3876,169.92,143,3.69%,40,1.03%,,,
Unknown,N/A,53,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,90,79.74,2,2.22%,0,0.00%,,,
Black,41858,884,211.19,61,6.90%,10,1.13%,,,
White,404469,5820,143.89,214,3.68%,45,0.77%,,,
Hawaiian/Pacific Islander,470,23,489.36,4,17.39%,0,0.00%,,,
Other ,12229,401,327.91,9,2.24%,2,0.50%,,,
Unknown,N/A,942,N/A,7,0.74%,7,0.74%,,,
,,,,,,,,,,
Hispanic,20694,1054,509.33,45,4.27%,5,0.47%,,,
Non-Hispanic,449619,6014,133.76,244,4.06%,48,0.80%,,,
Unknown,N/A,1092,N/A,8,0.73%,11,1.01%,,,
,,,,,,,,,,
Total,"470,313",8160,173.50,297,3.64%,64,0.78%,,,
