,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4528,467.64,22,0.49%,0,0.00%,,,
18-44,"173,546",20000,1152.43,150,0.75%,10,0.05%,,,
45-64,"116,740",10617,909.46,286,2.69%,61,0.57%,,,
65-74,"40,633",2997,737.58,218,7.27%,93,3.10%,,,
75+,"28,440",2193,771.10,373,17.01%,245,11.17%,,,
,,,,,,,,,,
Females,242211,21308,879.73,537,2.52%,177,0.83%,,,
Males,228102,18667,818.36,510,2.73%,232,1.24%,,,
Unknown,N/A,360,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,434,384.51,11,2.53%,3,0.69%,,,
Black,41858,2876,687.08,120,4.17%,30,1.04%,,,
White,404469,29261,723.44,862,2.95%,328,1.12%,,,
Hawaiian/Pacific Islander,470,45,957.45,4,8.89%,1,2.22%,,,
Other ,12229,1346,1100.66,18,1.34%,3,0.22%,,,
Unknown,N/A,6373,N/A,34,0.53%,44,0.69%,,,
,,,,,,,,,,
Hispanic,20694,2256,1090.17,61,2.70%,9,0.40%,,,
Non-Hispanic,449619,27576,613.32,929,3.37%,350,1.27%,,,
Unknown,N/A,10503,N/A,59,0.56%,50,0.48%,,,
,,,,,,,,,,
Total,"470,313",40335,857.62,1049,2.60%,409,1.01%,,,
