,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",750,77.46,8,1.07%,0,0.00%,,,
18-44,"173,546",4416,254.46,78,1.77%,5,0.11%,,,
45-64,"116,740",1611,138.00,102,6.33%,16,0.99%,,,
65-74,"40,633",401,98.69,38,9.48%,13,3.24%,,,
75+,"28,440",269,94.59,53,19.70%,28,10.41%,,,
,,,,,,,,,,
Females,242211,3855,159.16,143,3.71%,23,0.60%,,,
Males,228102,3542,155.28,136,3.84%,39,1.10%,,,
Unknown,N/A,50,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,77,68.22,2,2.60%,0,0.00%,,,
Black,41858,835,199.48,57,6.83%,10,1.20%,,,
White,404469,5293,130.86,201,3.80%,43,0.81%,,,
Hawaiian/Pacific Islander,470,24,510.64,4,16.67%,0,0.00%,,,
Other ,12229,376,307.47,8,2.13%,2,0.53%,,,
Unknown,N/A,842,N/A,7,0.83%,7,0.83%,,,
,,,,,,,,,,
Hispanic,20694,1008,487.10,45,4.46%,5,0.50%,,,
Non-Hispanic,449619,5386,119.79,226,4.20%,46,0.85%,,,
Unknown,N/A,1053,N/A,8,0.76%,11,1.04%,,,
,,,,,,,,,,
Total,"470,313",7447,158.34,279,3.75%,62,0.83%,,,
