,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",555,57.32,5,0.90%,0,0.00%,,,
18-44,"173,546",3170,182.66,62,1.96%,5,0.16%,,,
45-64,"116,740",1284,109.99,93,7.24%,15,1.17%,,,
65-74,"40,633",300,73.83,29,9.67%,6,2.00%,,,
75+,"28,440",200,70.32,46,23.00%,23,11.50%,,,
,,,,,,,,,,
Females,242211,2778,114.69,120,4.32%,17,0.61%,,,
Males,228102,2686,117.75,115,4.28%,32,1.19%,,,
,,,,,,,,,,
Asian,11287,46,40.75,2,4.35%,0,0.00%,,,
Black,41858,663,158.39,52,7.84%,10,1.51%,,,
White,404469,3658,90.44,161,4.40%,31,0.85%,,,
Hawaiian/Pacific Islander,470,17,361.70,4,23.53%,0,0.00%,,,
Other ,12229,327,267.40,8,2.45%,2,0.61%,,,
Unknown,N/A,798,N/A,8,1.00%,6,0.75%,,,
,,,,,,,,,,
Hispanic,20694,793,383.20,42,5.30%,4,0.50%,,,
Non-Hispanic,449619,3691,82.09,187,5.07%,35,0.95%,,,
Unknown,N/A,1025,N/A,6,0.59%,10,0.98%,,,
,,,,,,,,,,
Total,"470,313",5509,117.13,235,4.27%,49,0.89%,,,
