,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1316,135.91,11,0.84%,0,0.00%,,,
18-44,"173,546",7217,415.86,109,1.51%,5,0.07%,,,
45-64,"116,740",2765,236.85,150,5.42%,21,0.76%,,,
65-74,"40,633",741,182.36,79,10.66%,23,3.10%,,,
75+,"28,440",453,159.28,92,20.31%,48,10.60%,,,
,,,,,,,,,,
Females,242211,6469,267.08,231,3.57%,37,0.57%,,,
Males,228102,5951,260.89,210,3.53%,60,1.01%,,,
Unknown,N/A,72,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,140,124.04,3,2.14%,0,0.00%,,,
Black,41858,1189,284.06,84,7.06%,15,1.26%,,,
White,404469,9246,228.60,328,3.55%,78,0.84%,,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,,
Other ,12229,501,409.68,13,2.59%,2,0.40%,,,
Unknown,N/A,1386,N/A,9,0.65%,2,0.14%,,,
,,,,,,,,,,
Hispanic,20694,1284,620.47,49,3.82%,4,0.31%,,,
Non-Hispanic,449619,9634,214.27,381,3.95%,86,0.89%,,,
Unknown,N/A,1574,N/A,11,0.70%,7,0.44%,,,
,,,,,,,,,,
Total,"470,313",12492,265.61,441,3.53%,97,0.78%,,,
