,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,14309,1473.83,50,0.35%,0,0.00%
18-44,183183,38827,2119.57,284,0.73%,42,0.11%
45-64,116628,20330,1743.15,623,3.06%,210,1.03%
65-74,46724,5548,1187.40,518,9.34%,240,4.33%
75+,31987,3733,1167.04,700,18.75%,495,13.26%
,,,,,,,
Females,244460,43851,1793.79,1083,2.47%,437,1.00%
Males,231149,38199,1652.57,1089,2.85%,550,1.44%
Unknown,N/A,697,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,891,759.14,20,2.24%,7,0.79%
Black,42291,6830,1615.00,260,3.81%,90,1.32%
White,408000,60225,1476.10,1804,3.00%,853,1.42%
Hawaiian/Pacific Islander,585,94,1606.84,4,4.26%,0,0.00%
Other ,12996,4082,3140.97,38,0.93%,6,0.15%
Unknown,N/A,10625,N/A,49,0.46%,31,0.29%
,,,,,,,
Hispanic,22336,3676,1645.77,92,2.50%,13,0.35%
Non-Hispanic,453273,59566,1314.13,1976,3.32%,896,1.50%
Unknown,N/A,19505,N/A,107,0.55%,78,0.40%
,,,,,,,
Total,"475,609",82747,1739.81,2175,2.63%,987,1.19%
