,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1062,109.68,10,0.94%,0,0.00%,,,
18-44,"173,546",6205,357.54,97,1.56%,5,0.08%,,,
45-64,"116,740",2128,182.29,127,5.97%,20,0.94%,,,
65-74,"40,633",563,138.56,60,10.66%,20,3.55%,,,
75+,"28,440",356,125.18,75,21.07%,39,10.96%,,,
,,,,,,,,,,
Females,242211,5315,219.44,193,3.63%,29,0.55%,,,
Males,228102,4941,216.61,176,3.56%,55,1.11%,,,
Unknown,N/A,58,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,131,116.06,2,1.53%,0,0.00%,,,
Black,41858,1021,243.92,71,6.95%,13,1.27%,,,
White,404469,7542,186.47,273,3.62%,67,0.89%,,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,,
Other ,12229,456,372.88,10,2.19%,2,0.44%,,,
Unknown,N/A,1019,N/A,9,0.88%,2,0.20%,,,
,,,,,,,,,,
Hispanic,20694,1191,575.53,48,4.03%,4,0.34%,,,
Non-Hispanic,449619,7871,175.06,311,3.95%,74,0.94%,,,
Unknown,N/A,1135,N/A,10,0.88%,6,0.53%,,,
,,,,,,,,,,
Total,"470,313",10314,219.30,369,3.58%,84,0.81%,,,
