,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",3688,380.89,13,0.35%,0,0.00%,,,
18-44,"173,546",16291,938.71,132,0.81%,9,0.06%,,,
45-64,"116,740",8488,727.09,220,2.59%,41,0.48%,,,
65-74,"40,633",2357,580.07,144,6.11%,74,3.14%,,,
75+,"28,440",1641,577.00,235,14.32%,182,11.09%,,,
,,,,,,,,,,
Females,242211,16970,700.63,369,2.17%,121,0.71%,,,
Males,228102,15163,664.75,373,2.46%,185,1.22%,,,
Unknown,N/A,332,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,290,256.93,7,2.41%,1,0.34%,,,
Black,41858,2164,516.99,101,4.67%,26,1.20%,,,
White,404469,21333,527.43,600,2.81%,239,1.12%,,,
Hawaiian/Pacific Islander,470,41,872.34,4,9.76%,1,2.44%,,,
Other ,12229,967,790.74,14,1.45%,3,0.31%,,,
Unknown,N/A,7670,N/A,18,0.23%,36,0.47%,,,
,,,,,,,,,,
Hispanic,20694,1700,821.49,55,3.24%,9,0.53%,,,
Non-Hispanic,449619,19112,425.07,664,3.47%,255,1.33%,,,
Unknown,N/A,11653,N/A,25,0.21%,42,0.36%,,,
,,,,,,,,,,
Total,"470,313",32465,690.28,744,2.29%,306,0.94%,,,
