,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13584,1399.16,49,0.36%,0,0.00%
18-44,183183,37004,2020.06,261,0.71%,40,0.11%
45-64,116628,19332,1657.58,544,2.81%,185,0.96%
65-74,46724,5276,1129.18,492,9.33%,230,4.36%
75+,31987,3543,1107.64,656,18.52%,467,13.18%
,,,,,,,
Females,244460,41676,1704.82,995,2.39%,413,0.99%
Males,231149,36357,1572.88,1003,2.76%,509,1.40%
Unknown,N/A,706,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11737,816,695.24,20,2.45%,7,0.86%
Black,42291,6557,1550.45,245,3.74%,86,1.31%
White,408000,56870,1393.87,1655,2.91%,793,1.39%
Hawaiian/Pacific Islander,585,91,1555.56,4,4.40%,0,0.00%
Other ,12996,3896,2997.85,34,0.87%,6,0.15%
Unknown,N/A,10509,N/A,44,0.42%,30,0.29%
,,,,,,,
Hispanic,22336,3538,1583.99,87,2.46%,13,0.37%
Non-Hispanic,453273,56186,1239.56,1818,3.24%,834,1.48%
Unknown,N/A,19015,N/A,97,0.51%,75,0.39%
,,,,,,,
Total,"475,609",78739,1655.54,2002,2.54%,922,1.17%
