,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,97087,6443,663.63,28,0.43%,0,0.00%,,
18-44,183183,25430,1388.23,195,0.77%,14,0.06%,,
45-64,116628,13557,1162.41,405,2.99%,101,0.75%,,
65-74,46724,3765,805.80,321,8.53%,147,3.90%,,
75+,31987,2635,823.77,482,18.29%,388,14.72%,,
,,,,,,,,,
Females,244460,27403,1120.96,718,2.62%,292,1.07%,,
Males,231149,24099,1042.57,710,2.95%,358,1.49%,,
Unknown,N/A,328,N/A,3,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11737,629,535.91,15,2.38%,6,0.95%,,
Black,42291,3987,942.75,165,4.14%,46,1.15%,,
White,408000,39587,970.27,1193,3.01%,566,1.43%,,
Hawaiian/Pacific Islander,585,65,1111.11,4,6.15%,0,0.00%,,
Other ,12996,1815,1396.58,23,1.27%,4,0.22%,,
Unknown,N/A,5747,N/A,31,0.54%,28,0.49%,,
,,,,,,,,,
Hispanic,22336,2783,1245.97,75,2.69%,6,0.22%,,
Non-Hispanic,453273,39629,874.29,1297,3.27%,584,1.47%,,
Unknown,N/A,9418,N/A,59,0.63%,60,0.64%,,
,,,,,,,,,
Total,"475,609",51830,1089.76,1431,2.76%,650,1.25%,,
