,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",3835,396.07,16,0.42%,0,0.00%,,,
18-44,"173,546",16809,968.56,134,0.80%,9,0.05%,,,
45-64,"116,740",8820,755.53,231,2.62%,46,0.52%,,,
65-74,"40,633",2448,602.47,156,6.37%,77,3.15%,,,
75+,"28,440",1751,615.68,249,14.22%,192,10.97%,,,
,,,,,,,,,,
Females,242211,17642,728.37,391,2.22%,133,0.75%,,,
Males,228102,15684,687.59,393,2.51%,191,1.22%,,,
Unknown,N/A,337,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,304,269.34,8,2.63%,2,0.66%,,,
Black,41858,2275,543.50,102,4.48%,27,1.19%,,,
White,404469,22538,557.22,641,2.84%,251,1.11%,,,
Hawaiian/Pacific Islander,470,41,872.34,4,9.76%,1,2.44%,,,
Other ,12229,1000,817.73,15,1.50%,3,0.30%,,,
Unknown,N/A,7505,N/A,16,0.21%,40,0.53%,,,
,,,,,,,,,,
Hispanic,20694,1740,840.82,55,3.16%,9,0.52%,,,
Non-Hispanic,449619,20376,453.18,704,3.46%,271,1.33%,,,
Unknown,N/A,11547,N/A,27,0.23%,44,0.38%,,,
,,,,,,,,,,
Total,"470,313",33663,715.76,786,2.33%,324,0.96%,,,
