,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5839,603.04,27,0.46%,0,0.00%,,,
18-44,"173,546",23647,1362.58,170,0.72%,11,0.05%,,,
45-64,"116,740",12745,1091.74,347,2.72%,81,0.64%,,,
65-74,"40,633",3603,886.72,294,8.16%,140,3.89%,,,
75+,"28,440",2586,909.28,454,17.56%,366,14.15%,,,
,,,,,,,,,,
Females,242211,25651,1059.04,649,2.53%,273,1.06%,,,
Males,228102,22433,983.46,639,2.85%,325,1.45%,,,
Unknown,N/A,336,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,587,520.07,13,2.21%,5,0.85%,,,
Black,41858,3612,862.92,143,3.96%,37,1.02%,,,
White,404469,36658,906.32,1079,2.94%,525,1.43%,,,
Hawaiian/Pacific Islander,470,58,1234.04,4,6.90%,0,0.00%,,,
Other ,12229,1566,1280.56,22,1.40%,3,0.19%,,,
Unknown,N/A,5939,N/A,31,0.52%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2625,1268.48,71,2.70%,6,0.23%,,,
Non-Hispanic,449619,36265,806.57,1168,3.22%,535,1.48%,,,
Unknown,N/A,9530,N/A,53,0.56%,57,0.60%,,,
,,,,,,,,,,
Total,"470,313",48420,1029.53,1292,2.67%,598,1.24%,,,
