,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1478,152.64,11,0.74%,0,0.00%,,,
18-44,"173,546",7927,456.77,112,1.41%,5,0.06%,,,
45-64,"116,740",3179,272.31,160,5.03%,21,0.66%,,,
65-74,"40,633",842,207.22,82,9.74%,25,2.97%,,,
75+,"28,440",548,192.69,106,19.34%,54,9.85%,,,
,,,,,,,,,,
Females,242211,7260,299.74,248,3.42%,38,0.52%,,,
Males,228102,6625,290.44,222,3.35%,67,1.01%,,,
Unknown,N/A,89,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,144,127.58,3,2.08%,0,0.00%,,,
Black,41858,1286,307.23,84,6.53%,16,1.24%,,,
White,404469,10338,255.59,358,3.46%,85,0.82%,,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,,
Other ,12229,533,435.85,13,2.44%,2,0.38%,,,
Unknown,N/A,1643,N/A,9,0.55%,2,0.12%,,,
,,,,,,,,,,
Hispanic,20694,1329,642.22,49,3.69%,4,0.30%,,,
Non-Hispanic,449619,10742,238.91,412,3.84%,94,0.88%,,,
Unknown,N/A,1903,N/A,10,0.53%,7,0.37%,,,
,,,,,,,,,,
Total,"470,313",13974,297.12,471,3.37%,107,0.77%,,,
