,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5565,574.74,25,0.45%,0,0.00%,,,
18-44,"173,546",22760,1311.47,165,0.72%,11,0.05%,,,
45-64,"116,740",12180,1043.34,331,2.72%,78,0.64%,,,
65-74,"40,633",3454,850.05,279,8.08%,128,3.71%,,,
75+,"28,440",2523,887.13,441,17.48%,314,12.45%,,,
,,,,,,,,,,
Females,242211,24592,1015.31,628,2.55%,239,0.97%,,,
Males,228102,21519,943.39,610,2.83%,292,1.36%,,,
Unknown,N/A,371,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,556,492.60,12,2.16%,4,0.72%,,,
Black,41858,3423,817.76,135,3.94%,34,0.99%,,,
White,404469,34744,859.00,1038,2.99%,442,1.27%,,,
Hawaiian/Pacific Islander,470,56,1191.49,4,7.14%,1,1.79%,,,
Other ,12229,1498,1224.96,20,1.34%,3,0.20%,,,
Unknown,N/A,6205,N/A,32,0.52%,47,0.76%,,,
,,,,,,,,,,
Hispanic,20694,2539,1226.93,69,2.72%,10,0.39%,,,
Non-Hispanic,449619,33910,754.19,1111,3.28%,456,1.34%,,,
Unknown,N/A,10033,N/A,61,0.61%,65,0.65%,,,
,,,,,,,,,,
Total,"470,313",46482,988.32,1241,2.67%,531,1.14%,,,
