,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",2075,214.30,13,0.63%,0,0.00%,,,
18-44,"173,546",10585,609.92,126,1.19%,7,0.07%,,,
45-64,"116,740",4703,402.86,192,4.08%,26,0.55%,,,
65-74,"40,633",1323,325.60,104,7.86%,40,3.02%,,,
75+,"28,440",893,313.99,158,17.69%,94,10.53%,,,
,,,,,,,,,,
Females,242211,10185,420.50,300,2.95%,62,0.61%,,,
Males,228102,9217,404.07,291,3.16%,105,1.14%,,,
Unknown,N/A,177,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,205,181.62,5,2.44%,1,0.49%,,,
Black,41858,1533,366.24,91,5.94%,20,1.30%,,,
White,404469,14135,349.47,470,3.33%,131,0.93%,,,
Hawaiian/Pacific Islander,470,36,765.96,4,11.11%,0,0.00%,,,
Other ,12229,656,536.43,13,1.98%,2,0.30%,,,
Unknown,N/A,3014,N/A,10,0.33%,13,0.43%,,,
,,,,,,,,,,
Hispanic,20694,1480,715.18,49,3.31%,7,0.47%,,,
Non-Hispanic,449619,14114,313.91,530,3.76%,140,0.99%,,,
Unknown,N/A,3985,N/A,14,0.35%,20,0.50%,,,
,,,,,,,,,,
Total,"470,313",19579,416.30,593,3.03%,167,0.85%,,,
