,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6292,649.83,28,0.45%,0,0.00%,,,
18-44,"173,546",25280,1456.67,186,0.74%,12,0.05%,,,
45-64,"116,740",13544,1160.19,389,2.87%,93,0.69%,,,
65-74,"40,633",3756,924.37,312,8.31%,144,3.83%,,,
75+,"28,440",2654,933.19,475,17.90%,383,14.43%,,,
,,,,,,,,,,
Females,242211,27254,1125.22,694,2.55%,287,1.05%,,,
Males,228102,23923,1048.79,692,2.89%,345,1.44%,,,
Unknown,N/A,349,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,634,561.71,14,2.21%,5,0.79%,,,
Black,41858,3878,926.47,160,4.13%,42,1.08%,,,
White,404469,39252,970.46,1158,2.95%,554,1.41%,,,
Hawaiian/Pacific Islander,470,63,1340.43,4,6.35%,0,0.00%,,,
Other ,12229,1761,1440.02,22,1.25%,3,0.17%,,,
Unknown,N/A,5938,N/A,32,0.54%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2763,1335.17,72,2.61%,6,0.22%,,,
Non-Hispanic,449619,39159,870.94,1257,3.21%,567,1.45%,,,
Unknown,N/A,9604,N/A,61,0.64%,59,0.61%,,,
,,,,,,,,,,
Total,"470,313",51526,1095.57,1390,2.70%,632,1.23%,,,
