,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5824,601.49,27,0.46%,0,0.00%,,,
18-44,"173,546",23589,1359.24,170,0.72%,10,0.04%,,,
45-64,"116,740",12715,1089.17,347,2.73%,81,0.64%,,,
65-74,"40,633",3597,885.24,294,8.17%,140,3.89%,,,
75+,"28,440",2583,908.23,454,17.58%,365,14.13%,,,
,,,,,,,,,,
Females,242211,25582,1056.19,649,2.54%,272,1.06%,,,
Males,228102,22382,981.23,639,2.85%,324,1.45%,,,
Unknown,N/A,344,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,585,518.30,13,2.22%,5,0.85%,,,
Black,41858,3599,859.81,143,3.97%,36,1.00%,,,
White,404469,36558,903.85,1079,2.95%,524,1.43%,,,
Hawaiian/Pacific Islander,470,58,1234.04,4,6.90%,0,0.00%,,,
Other ,12229,1561,1276.47,22,1.41%,3,0.19%,,,
Unknown,N/A,5947,N/A,31,0.52%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2621,1266.55,71,2.71%,6,0.23%,,,
Non-Hispanic,449619,36143,803.86,1168,3.23%,533,1.47%,,,
Unknown,N/A,9544,N/A,53,0.56%,57,0.60%,,,
,,,,,,,,,,
Total,"470,313",48308,1027.15,1292,2.67%,596,1.23%,,,
