,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6228,643.22,28,0.45%,0,0.00%,,,
18-44,"173,546",25071,1444.63,186,0.74%,11,0.04%,,,
45-64,"116,740",13421,1149.65,382,2.85%,91,0.68%,,,
65-74,"40,633",3725,916.74,307,8.24%,144,3.87%,,,
75+,"28,440",2642,928.97,469,17.75%,380,14.38%,,,
,,,,,,,,,,
Females,242211,27035,1116.18,688,2.54%,287,1.06%,,,
Males,228102,23705,1039.23,680,2.87%,339,1.43%,,,
Unknown,N/A,347,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,625,553.73,14,2.24%,5,0.80%,,,
Black,41858,3833,915.72,156,4.07%,42,1.10%,,,
White,404469,38924,962.35,1145,2.94%,548,1.41%,,,
Hawaiian/Pacific Islander,470,62,1319.15,4,6.45%,0,0.00%,,,
Other ,12229,1744,1426.12,22,1.26%,3,0.17%,,,
Unknown,N/A,5899,N/A,31,0.53%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2748,1327.92,72,2.62%,6,0.22%,,,
Non-Hispanic,449619,38753,861.91,1242,3.20%,561,1.45%,,,
Unknown,N/A,9586,N/A,58,0.61%,59,0.62%,,,
,,,,,,,,,,
Total,"470,313",51087,1086.23,1372,2.69%,626,1.23%,,,
