,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1359,140.35,11,0.81%,0,0.00%,,,
18-44,"173,546",7433,428.30,110,1.48%,5,0.07%,,,
45-64,"116,740",2879,246.62,156,5.42%,21,0.73%,,,
65-74,"40,633",777,191.22,79,10.17%,24,3.09%,,,
75+,"28,440",484,170.18,97,20.04%,49,10.12%,,,
,,,,,,,,,,
Females,242211,6692,276.29,239,3.57%,37,0.55%,,,
Males,228102,6162,270.14,213,3.46%,62,1.01%,,,
Unknown,N/A,78,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,142,125.81,3,2.11%,0,0.00%,,,
Black,41858,1214,290.03,84,6.92%,15,1.24%,,,
White,404469,9616,237.74,341,3.55%,80,0.83%,,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,,
Other ,12229,509,416.22,13,2.55%,2,0.39%,,,
Unknown,N/A,1421,N/A,8,0.56%,2,0.14%,,,
,,,,,,,,,,
Hispanic,20694,1294,625.30,49,3.79%,4,0.31%,,,
Non-Hispanic,449619,10015,222.74,392,3.91%,88,0.88%,,,
Unknown,N/A,1623,N/A,12,0.74%,7,0.43%,,,
,,,,,,,,,,
Total,"470,313",12932,274.97,453,3.50%,99,0.77%,,,
