,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6236,644.04,28,0.45%,0,0.00%,,,
18-44,"173,546",25093,1445.90,186,0.74%,11,0.04%,,,
45-64,"116,740",13434,1150.76,382,2.84%,91,0.68%,,,
65-74,"40,633",3731,918.22,308,8.26%,144,3.86%,,,
75+,"28,440",2645,930.03,469,17.73%,380,14.37%,,,
,,,,,,,,,,
Females,242211,27062,1117.29,688,2.54%,287,1.06%,,,
Males,228102,23729,1040.28,681,2.87%,339,1.43%,,,
Unknown,N/A,348,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,625,553.73,14,2.24%,5,0.80%,,,
Black,41858,3846,918.82,156,4.06%,42,1.09%,,,
White,404469,38965,963.36,1146,2.94%,548,1.41%,,,
Hawaiian/Pacific Islander,470,62,1319.15,4,6.45%,0,0.00%,,,
Other ,12229,1747,1428.57,22,1.26%,3,0.17%,,,
Unknown,N/A,5894,N/A,31,0.53%,28,0.48%,,,
,,,,,,,,,,
Hispanic,20694,2748,1327.92,72,2.62%,6,0.22%,,,
Non-Hispanic,449619,38884,864.82,1243,3.20%,561,1.44%,,,
Unknown,N/A,9507,N/A,58,0.61%,59,0.62%,,,
,,,,,,,,,,
Total,"470,313",51139,1087.34,1373,2.68%,626,1.22%,,,
