,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",703,72.60,7,1.00%,0,0.00%,,,
18-44,"173,546",3919,225.82,72,1.84%,5,0.13%,,,
45-64,"116,740",1546,132.43,99,6.40%,16,1.03%,,,
65-74,"40,633",373,91.80,34,9.12%,12,3.22%,,,
75+,"28,440",245,86.15,52,21.22%,25,10.20%,,,
,,,,,,,,,,
Females,242211,3445,142.23,136,3.95%,21,0.61%,,,
Males,228102,3285,144.01,128,3.90%,37,1.13%,,,
,,,,,,,,,,
Asian,11287,64,56.70,2,3.13%,0,0.00%,,,
Black,41858,793,189.45,56,7.06%,10,1.26%,,,
White,404469,4675,115.58,186,3.98%,39,0.83%,,,
Hawaiian/Pacific Islander,470,20,425.53,4,20.00%,0,0.00%,,,
Other ,12229,362,296.02,8,2.21%,2,0.55%,,,
Unknown,N/A,872,N/A,8,0.92%,7,0.80%,,,
,,,,,,,,,,
Hispanic,20694,962,464.87,45,4.68%,5,0.52%,,,
Non-Hispanic,449619,4763,105.93,212,4.45%,42,0.88%,,,
Unknown,N/A,1061,N/A,7,0.66%,11,1.04%,,,
,,,,,,,,,,
Total,"470,313",6786,144.29,264,3.89%,58,0.85%,,,
