,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13227,1362.39,47,0.36%,0,0.00%
18-44,183183,36175,1974.80,240,0.66%,37,0.10%
45-64,116628,18820,1613.68,482,2.56%,169,0.90%
65-74,46724,5124,1096.65,465,9.07%,210,4.10%
75+,31987,3452,1079.19,626,18.13%,448,12.98%
,,,,,,,
Females,244460,40602,1660.89,931,2.29%,385,0.95%
Males,231149,35431,1532.82,926,2.61%,479,1.35%
Unknown,N/A,765,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,791,673.94,18,2.28%,7,0.88%
Black,42291,6399,1513.09,229,3.58%,78,1.22%
White,408000,55038,1348.97,1540,2.80%,745,1.35%
Hawaiian/Pacific Islander,585,89,1521.37,4,4.49%,0,0.00%
Other ,12996,3833,2949.37,32,0.83%,5,0.13%
Unknown,N/A,10648,N/A,37,0.35%,29,0.27%
,,,,,,,
Hispanic,22336,3445,1542.35,83,2.41%,11,0.32%
Non-Hispanic,453273,53994,1191.20,1691,3.13%,783,1.45%
Unknown,N/A,19359,N/A,86,0.44%,70,0.36%
,,,,,,,
Total,"475,609",76798,1614.73,1860,2.42%,864,1.13%
