,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5775,596.43,27,0.47%,0,0.00%,,,
18-44,"173,546",23409,1348.86,170,0.73%,10,0.04%,,,
45-64,"116,740",12628,1081.72,344,2.72%,80,0.63%,,,
65-74,"40,633",3575,879.83,292,8.17%,139,3.89%,,,
75+,"28,440",2571,904.01,452,17.58%,364,14.16%,,,
,,,,,,,,,,
Females,242211,25411,1049.13,647,2.55%,271,1.07%,,,
Males,228102,22204,973.42,634,2.86%,322,1.45%,,,
Unknown,N/A,343,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,579,512.98,13,2.25%,5,0.86%,,,
Black,41858,3564,851.45,143,4.01%,35,0.98%,,,
White,404469,36277,896.90,1071,2.95%,522,1.44%,,,
Hawaiian/Pacific Islander,470,58,1234.04,4,6.90%,0,0.00%,,,
Other ,12229,1551,1268.30,22,1.42%,3,0.19%,,,
Unknown,N/A,5929,N/A,31,0.52%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2609,1260.75,71,2.72%,6,0.23%,,,
Non-Hispanic,449619,35838,797.07,1160,3.24%,530,1.48%,,,
Unknown,N/A,9511,N/A,53,0.56%,57,0.60%,,,
,,,,,,,,,,
Total,"470,313",47958,1019.70,1285,2.68%,593,1.24%,,,
