,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4593,474.36,22,0.48%,0,0.00%,,,
18-44,"173,546",20216,1164.88,151,0.75%,10,0.05%,,,
45-64,"116,740",10738,919.82,291,2.71%,66,0.61%,,,
65-74,"40,633",3026,744.71,224,7.40%,99,3.27%,,,
75+,"28,440",2231,784.46,378,16.94%,259,11.61%,,,
,,,,,,,,,,
Females,242211,21528,888.81,545,2.53%,188,0.87%,,,
Males,228102,18903,828.71,518,2.74%,246,1.30%,,,
Unknown,N/A,373,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,442,391.60,11,2.49%,3,0.68%,,,
Black,41858,2930,699.99,121,4.13%,31,1.06%,,,
White,404469,29686,733.95,877,2.95%,352,1.19%,,,
Hawaiian/Pacific Islander,470,47,1000.00,4,8.51%,1,2.13%,,,
Other ,12229,1326,1084.31,18,1.36%,3,0.23%,,,
Unknown,N/A,6373,N/A,35,0.55%,44,0.69%,,,
,,,,,,,,,,
Hispanic,20694,2299,1110.95,62,2.70%,9,0.39%,,,
Non-Hispanic,449619,28161,626.33,944,3.35%,373,1.32%,,,
Unknown,N/A,10344,N/A,60,0.58%,52,0.50%,,,
,,,,,,,,,,
Total,"470,313",40804,867.59,1066,2.61%,434,1.06%,,,
