,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",6353,656.13,28,0.44%,0,0.00%,,
18-44,"173,546",25454,1466.70,189,0.74%,12,0.05%,,
45-64,"116,740",13620,1166.70,391,2.87%,95,0.70%,,
65-74,"40,633",3770,927.82,315,8.36%,144,3.82%,,
75+,"28,440",2660,935.30,478,17.97%,384,14.44%,,
,,,,,,,,,
Females,242211,27424,1132.24,698,2.55%,288,1.05%,,
Males,228102,24084,1055.84,699,2.90%,347,1.44%,,
Unknown,N/A,349,N/A,4,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,635,562.59,14,2.20%,5,0.79%,,
Black,41858,3898,931.24,160,4.10%,43,1.10%,,
White,404469,39535,977.45,1169,2.96%,556,1.41%,,
Hawaiian/Pacific Islander,470,64,1361.70,4,6.25%,0,0.00%,,
Other ,12229,1779,1454.74,22,1.24%,3,0.17%,,
Unknown,N/A,5946,N/A,32,0.54%,28,0.47%,,
,,,,,,,,,
Hispanic,20694,2779,1342.90,72,2.59%,6,0.22%,,
Non-Hispanic,449619,39461,877.65,1270,3.22%,570,1.44%,,
Unknown,N/A,9617,N/A,59,0.61%,59,0.61%,,
,,,,,,,,,
Total,"470,313",51857,1102.61,1401,2.70%,635,1.22%,,
