,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5513,569.37,25,0.45%,0,0.00%,,,
18-44,"173,546",22650,1305.13,164,0.72%,11,0.05%,,,
45-64,"116,740",12114,1037.69,328,2.71%,78,0.64%,,,
65-74,"40,633",3439,846.36,274,7.97%,124,3.61%,,,
75+,"28,440",2511,882.91,437,17.40%,312,12.43%,,,
,,,,,,,,,,
Females,242211,24444,1009.20,621,2.54%,235,0.96%,,,
Males,228102,21413,938.75,604,2.82%,290,1.35%,,,
Unknown,N/A,370,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,552,489.06,12,2.17%,4,0.72%,,,
Black,41858,3383,808.21,134,3.96%,33,0.98%,,,
White,404469,34370,849.76,1025,2.98%,437,1.27%,,,
Hawaiian/Pacific Islander,470,55,1170.21,4,7.27%,1,1.82%,,,
Other ,12229,1482,1211.87,20,1.35%,3,0.20%,,,
Unknown,N/A,6385,N/A,33,0.52%,47,0.74%,,,
,,,,,,,,,,
Hispanic,20694,2525,1220.16,68,2.69%,10,0.40%,,,
Non-Hispanic,449619,33370,742.18,1095,3.28%,450,1.35%,,,
Unknown,N/A,10332,N/A,65,0.63%,65,0.63%,,,
,,,,,,,,,,
Total,"470,313",46227,982.90,1228,2.66%,525,1.14%,,,
