,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,22121,2278.47,72,0.33%,1,0.00%
18-44,183183,59853,3267.39,308,0.51%,61,0.10%
45-64,116628,31504,2701.24,716,2.27%,288,0.91%
65-74,46724,8520,1823.47,696,8.17%,319,3.74%
75+,31987,5673,1773.53,921,16.23%,669,11.79%
,,,,,,,
Females,244460,68813,2814.90,1354,1.97%,610,0.89%
Males,231149,58026,2510.33,1356,2.34%,728,1.25%
Unknown,N/A,832,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1547,1318.05,22,1.42%,9,0.58%
Black,42291,10393,2457.50,332,3.19%,124,1.19%
White,408000,89444,2192.25,2252,2.52%,1160,1.30%
Hawaiian/Pacific Islander,585,142,2427.35,5,3.52%,1,0.70%
Other ,12996,8318,6400.43,48,0.58%,8,0.10%
Unknown,N/A,17827,N/A,54,0.30%,36,0.20%
,,,,,,,
Hispanic,22336,4552,2037.97,104,2.28%,21,0.46%
Non-Hispanic,453273,85161,1878.80,2474,2.91%,1219,1.43%
Unknown,N/A,37958,N/A,135,0.36%,98,0.26%
,,,,,,,
Total,"475,609",127671,2684.37,2713,2.12%,1338,1.05%
