,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,97087,22206,2287.23,72,0.32%,1,0.00%,,,
18-44,183183,60167,3284.53,308,0.51%,61,0.10%,,,
45-64,116628,31704,2718.39,717,2.26%,289,0.91%,,,
65-74,46724,8600,1840.60,704,8.19%,332,3.86%,,,
75+,31987,5758,1800.11,926,16.08%,687,11.93%,,,
,,,,,,,,,,
Females,244460,69271,2833.63,1362,1.97%,628,0.91%,,,
Males,231149,58333,2523.61,1362,2.33%,742,1.27%,,,
Unknown,N/A,831,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11737,1594,1358.10,22,1.38%,9,0.56%,,,
Black,42291,10474,2476.65,332,3.17%,126,1.20%,,,
White,408000,90650,2221.81,2267,2.50%,1189,1.31%,,,
Hawaiian/Pacific Islander,585,144,2461.54,5,3.47%,1,0.69%,,,
Other ,12996,8227,6330.41,48,0.58%,8,0.10%,,,
Unknown,N/A,17346,N/A,53,0.31%,37,0.21%,,,
,,,,,,,,,,
Hispanic,22336,4680,2095.27,104,2.22%,21,0.45%,,,
Non-Hispanic,453273,87013,1919.66,2489,2.86%,1251,1.44%,,,
Unknown,N/A,36742,N/A,134,0.36%,98,0.27%,,,
,,,,,,,,,,
Total,"475,609",128435,2700.43,2727,2.12%,1370,1.07%,,,
