,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4785,494.19,22,0.46%,0,0.00%,,,
18-44,"173,546",20671,1191.10,151,0.73%,10,0.05%,,,
45-64,"116,740",10999,942.18,302,2.75%,69,0.63%,,,
65-74,"40,633",3115,766.62,241,7.74%,106,3.40%,,,
75+,"28,440",2302,809.42,395,17.16%,270,11.73%,,,
,,,,,,,,,,
Females,242211,22211,917.01,569,2.56%,207,0.93%,,,
Males,228102,19447,852.56,539,2.77%,248,1.28%,,,
Unknown,N/A,374,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,473,419.07,11,2.33%,3,0.63%,,,
Black,41858,3054,729.61,122,3.99%,31,1.02%,,,
White,404469,30713,759.34,919,2.99%,373,1.21%,,,
Hawaiian/Pacific Islander,470,50,1063.83,4,8.00%,1,2.00%,,,
Other ,12229,1369,1119.47,18,1.31%,3,0.22%,,,
Unknown,N/A,6373,N/A,12,0.19%,44,0.69%,,,
,,,,,,,,,,
Hispanic,20694,2346,1133.66,62,2.64%,9,0.38%,,,
Non-Hispanic,449619,29223,649.95,984,3.37%,392,1.34%,,,
Unknown,N/A,10463,N/A,5,0.05%,54,0.52%,,,
,,,,,,,,,,
Total,"470,313",42032,893.70,1100,2.62%,455,1.08%,,,
