,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13243,1364.03,47,0.35%,0,0.00%
18-44,183183,36202,1976.28,242,0.67%,38,0.10%
45-64,116628,18836,1615.05,482,2.56%,172,0.91%
65-74,46724,5125,1096.87,465,9.07%,210,4.10%
75+,31987,3453,1079.50,626,18.13%,450,13.03%
,,,,,,,
Females,244460,40626,1661.87,931,2.29%,390,0.96%
Males,231149,35467,1534.38,928,2.62%,480,1.35%
Unknown,N/A,766,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,791,673.94,18,2.28%,7,0.88%
Black,42291,6410,1515.69,229,3.57%,79,1.23%
White,408000,55119,1350.96,1541,2.80%,750,1.36%
Hawaiian/Pacific Islander,585,89,1521.37,4,4.49%,0,0.00%
Other ,12996,3838,2953.22,32,0.83%,5,0.13%
Unknown,N/A,10612,N/A,38,0.36%,29,0.27%
,,,,,,,
Hispanic,22336,3447,1543.25,83,2.41%,11,0.32%
Non-Hispanic,453273,54173,1195.15,1694,3.13%,789,1.46%
Unknown,N/A,19239,N/A,85,0.44%,70,0.36%
,,,,,,,
Total,"475,609",76859,1616.01,1862,2.42%,870,1.13%
