,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,97087,22160,2282.49,72,0.32%,1,0.00%,,,
18-44,183183,59985,3274.59,308,0.51%,61,0.10%,,,
45-64,116628,31603,2709.73,717,2.27%,289,0.91%,,,
65-74,46724,8554,1830.75,701,8.19%,330,3.86%,,,
75+,31987,5696,1780.72,924,16.22%,683,11.99%,,,
,,,,,,,,,,
Females,244460,69009,2822.92,1360,1.97%,627,0.91%,,,
Males,231149,58154,2515.87,1359,2.34%,737,1.27%,,,
Unknown,N/A,835,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11737,1578,1344.47,22,1.39%,9,0.57%,,,
Black,42291,10435,2467.43,332,3.18%,126,1.21%,,,
White,408000,90116,2208.73,2262,2.51%,1183,1.31%,,,
Hawaiian/Pacific Islander,585,142,2427.35,5,3.52%,1,0.70%,,,
Other ,12996,8234,6335.80,48,0.58%,8,0.10%,,,
Unknown,N/A,17493,N/A,53,0.30%,37,0.21%,,,
,,,,,,,,,,
Hispanic,22336,4622,2069.31,104,2.25%,21,0.45%,,,
Non-Hispanic,453273,86232,1902.43,2484,2.88%,1245,1.44%,,,
Unknown,N/A,37144,N/A,134,0.36%,98,0.26%,,,
,,,,,,,,,,
Total,"475,609",127998,2691.24,2722,2.13%,1364,1.07%,,,
