,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",582,60.11,5,0.86%,0,0.00%,,,
18-44,"173,546",3261,187.90,62,1.90%,5,0.15%,,,
45-64,"116,740",1326,113.59,93,7.01%,15,1.13%,,,
65-74,"40,633",312,76.78,29,9.29%,8,2.56%,,,
75+,"28,440",205,72.08,47,22.93%,23,11.22%,,,
,,,,,,,,,,
Females,242211,2870,118.49,120,4.18%,19,0.66%,,,
Males,228102,2767,121.31,116,4.19%,32,1.16%,,,
,,,,,,,,,,
Asian,11287,48,42.53,2,4.17%,0,0.00%,,,
Black,41858,680,162.45,52,7.65%,10,1.47%,,,
White,404469,3763,93.04,162,4.31%,32,0.85%,,,
Hawaiian/Pacific Islander,470,17,361.70,4,23.53%,0,0.00%,,,
Other ,12229,334,273.12,8,2.40%,2,0.60%,,,
Unknown,N/A,844,N/A,8,0.95%,7,0.83%,,,
,,,,,,,,,,
Hispanic,20694,815,393.83,42,5.15%,4,0.49%,,,
Non-Hispanic,449619,3787,84.23,188,4.96%,36,0.95%,,,
Unknown,N/A,1084,N/A,6,0.55%,11,1.01%,,,
,,,,,,,,,,
Total,"470,313",5686,120.90,236,4.15%,51,0.90%,,,
