,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5660,584.55,27,0.48%,0,0.00%,,,
18-44,"173,546",23015,1326.16,168,0.73%,11,0.05%,,,
45-64,"116,740",12361,1058.85,337,2.73%,81,0.66%,,,
65-74,"40,633",3506,862.85,284,8.10%,130,3.71%,,,
75+,"28,440",2551,896.98,449,17.60%,318,12.47%,,,
,,,,,,,,,,
Females,242211,21786,899.46,642,2.95%,244,1.12%,,,
Males,228102,24932,1093.02,619,2.48%,296,1.19%,,,
Unknown,N/A,375,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,565,500.58,13,2.30%,4,0.71%,,,
Black,41858,3476,830.43,141,4.06%,34,0.98%,,,
White,404469,35426,875.86,1055,2.98%,450,1.27%,,,
Hawaiian/Pacific Islander,470,57,1212.77,4,7.02%,1,1.75%,,,
Other ,12229,1525,1247.04,21,1.38%,3,0.20%,,,
Unknown,N/A,6044,N/A,31,0.51%,48,0.79%,,,
,,,,,,,,,,
Hispanic,20694,2566,1239.97,70,2.73%,10,0.39%,,,
Non-Hispanic,449619,34719,772.19,1141,3.29%,464,1.34%,,,
Unknown,N/A,9808,N/A,54,0.55%,66,0.67%,,,
,,,,,,,,,,
Total,"470,313",47093,1001.31,1265,2.69%,540,1.15%,,,
