,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",592,61.14,5,0.84%,0,0.00%,,,
18-44,"173,546",3368,194.07,63,1.87%,5,0.15%,,,
45-64,"116,740",1367,117.10,94,6.88%,15,1.10%,,,
65-74,"40,633",320,78.75,30,9.38%,9,2.81%,,,
75+,"28,440",211,74.19,47,22.27%,23,10.90%,,,
,,,,,,,,,,
Females,242211,2962,122.29,120,4.05%,20,0.68%,,,
Males,228102,2853,125.08,119,4.17%,32,1.12%,,,
,,,,,,,,,,
Asian,11287,49,43.41,2,4.08%,0,0.00%,,,
Black,41858,703,167.95,52,7.40%,10,1.42%,,,
White,404469,3937,97.34,165,4.19%,33,0.84%,,,
Hawaiian/Pacific Islander,470,17,361.70,4,23.53%,0,0.00%,,,
Other ,12229,341,278.85,8,2.35%,2,0.59%,,,
Unknown,N/A,811,N/A,8,0.99%,7,0.86%,,,
,,,,,,,,,,
Hispanic,20694,840,405.91,42,5.00%,4,0.48%,,,
Non-Hispanic,449619,4009,89.16,191,4.76%,37,0.92%,,,
Unknown,N/A,1009,N/A,6,0.59%,11,1.09%,,,
,,,,,,,,,,
Total,"470,313",5858,124.56,239,4.08%,52,0.89%,,,
