,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13388,1378.97,49,0.37%,0,0.00%
18-44,183183,36550,1995.27,253,0.69%,40,0.11%
45-64,116628,19055,1633.83,512,2.69%,178,0.93%
65-74,46724,5198,1112.49,478,9.20%,218,4.19%
75+,31987,3490,1091.07,639,18.31%,456,13.07%
,,,,,,,
Females,244460,41119,1682.03,964,2.34%,400,0.97%
Males,231149,35863,1551.51,964,2.69%,492,1.37%
Unknown,N/A,699,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,797,679.05,19,2.38%,7,0.88%
Black,42291,6495,1535.79,237,3.65%,82,1.26%
White,408000,55927,1370.76,1597,2.86%,768,1.37%
Hawaiian/Pacific Islander,585,91,1555.56,4,4.40%,0,0.00%
Other ,12996,3865,2973.99,33,0.85%,5,0.13%
Unknown,N/A,10506,N/A,41,0.39%,30,0.29%
,,,,,,,
Hispanic,22336,3487,1561.16,85,2.44%,11,0.32%
Non-Hispanic,453273,55185,1217.48,1752,3.17%,809,1.47%
Unknown,N/A,19009,N/A,94,0.49%,72,0.38%
,,,,,,,
Total,"475,609",77681,1633.30,1931,2.49%,892,1.15%
