,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4980,514.32,23,0.46%,0,0.00%,,,
18-44,"173,546",21193,1221.17,153,0.72%,10,0.05%,,,
45-64,"116,740",11285,966.68,309,2.74%,71,0.63%,,,
65-74,"40,633",3210,790.00,248,7.73%,115,3.58%,,,
75+,"28,440",2351,826.65,403,17.14%,286,12.17%,,,
,,,,,,,,,,
Females,242211,22737,938.73,579,2.55%,220,0.97%,,,
Males,228102,19914,873.03,553,2.78%,262,1.32%,,,
Unknown,N/A,368,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,500,442.99,11,2.20%,3,0.60%,,,
Black,41858,3120,745.38,126,4.04%,33,1.06%,,,
White,404469,31548,779.99,942,2.99%,396,1.26%,,,
Hawaiian/Pacific Islander,470,50,1063.83,4,8.00%,1,2.00%,,,
Other ,12229,1361,1112.93,18,1.32%,3,0.22%,,,
Unknown,N/A,6440,N/A,35,0.54%,46,0.71%,,,
,,,,,,,,,,
Hispanic,20694,2380,1150.09,62,2.61%,9,0.38%,,,
Non-Hispanic,449619,30147,670.50,1015,3.37%,415,1.38%,,,
Unknown,N/A,10492,N/A,59,0.56%,58,0.55%,,,
,,,,,,,,,,
Total,"470,313",43019,914.69,1136,2.64%,482,1.12%,,,
