,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6403,661.29,28,0.44%,0,0.00%,,,
18-44,"173,546",25535,1471.37,191,0.75%,13,0.05%,,,
45-64,"116,740",13651,1169.35,397,2.91%,97,0.71%,,,
65-74,"40,633",3781,930.52,317,8.38%,144,3.81%,,,
75+,"28,440",2646,930.38,479,18.10%,385,14.55%,,,
,,,,,,,,,,
Females,242211,27503,1135.50,704,2.56%,289,1.05%,,,
Males,228102,24167,1059.48,704,2.91%,350,1.45%,,,
Unknown,N/A,346,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,632,559.94,15,2.37%,6,0.95%,,,
Black,41858,3922,936.98,163,4.16%,44,1.12%,,,
White,404469,39722,982.08,1177,2.96%,558,1.40%,,,
Hawaiian/Pacific Islander,470,64,1361.70,4,6.25%,0,0.00%,,,
Other ,12229,1799,1471.09,22,1.22%,3,0.17%,,,
Unknown,N/A,5877,N/A,31,0.53%,28,0.48%,,,
,,,,,,,,,,
Hispanic,20694,2786,1346.28,73,2.62%,6,0.22%,,,
Non-Hispanic,449619,39675,882.41,1281,3.23%,574,1.45%,,,
Unknown,N/A,9555,N/A,58,0.61%,59,0.62%,,,
,,,,,,,,,,
Total,"470,313",52016,1105.99,1412,2.71%,639,1.23%,,,
