,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1390,143.56,11,0.79%,0,0.00%,,,
18-44,"173,546",7571,436.25,110,1.45%,5,0.07%,,,
45-64,"116,740",2974,254.75,157,5.28%,21,0.71%,,,
65-74,"40,633",790,194.42,79,10.00%,25,3.16%,,,
75+,"28,440",503,176.86,98,19.48%,50,9.94%,,,
,,,,,,,,,,
Females,242211,6848,282.73,240,3.50%,37,0.54%,,,
Males,228102,6299,276.15,214,3.40%,64,1.02%,,,
Unknown,N/A,81,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,143,126.69,3,2.10%,0,0.00%,,,
Black,41858,1234,294.81,84,6.81%,16,1.30%,,,
White,404469,9756,241.21,343,3.52%,81,0.83%,,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,,
Other ,12229,510,417.04,13,2.55%,2,0.39%,,,
Unknown,N/A,1555,N/A,8,0.51%,2,0.13%,,,
,,,,,,,,,,
Hispanic,20694,1301,628.68,49,3.77%,4,0.31%,,,
Non-Hispanic,449619,10120,225.08,394,3.89%,90,0.89%,,,
Unknown,N/A,1807,N/A,12,0.66%,7,0.39%,,,
,,,,,,,,,,
Total,"470,313",13228,281.26,455,3.44%,101,0.76%,,,
