,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,97087,14876,1532.23,51,0.34%,0,0.00%,,,
18-44,183183,41983,2291.86,295,0.70%,45,0.11%,,,
45-64,116628,21680,1858.90,651,3.00%,217,1.00%,,,
65-74,46724,5885,1259.52,536,9.11%,242,4.11%,,,
75+,31987,3958,1237.38,716,18.09%,504,12.73%,,,
,,,,,,,,,,
Females,244460,46949,1920.52,1125,2.40%,450,0.96%,,,
Males,231149,40717,1761.50,1121,2.75%,558,1.37%,,,
Unknown,N/A,716,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11737,989,842.63,20,2.02%,7,0.71%,,,
Black,42291,7326,1732.28,275,3.75%,91,1.24%,,,
White,408000,63920,1566.67,1860,2.91%,872,1.36%,,,
Hawaiian/Pacific Islander,585,102,1743.59,5,4.90%,1,0.98%,,,
Other ,12996,4463,3434.13,39,0.87%,6,0.13%,,,
Unknown,N/A,11582,N/A,50,0.43%,31,0.27%,,,
,,,,,,,,,,
Hispanic,22336,3777,1690.99,93,2.46%,14,0.37%,,,
Non-Hispanic,453273,61874,1365.05,2040,3.30%,914,1.48%,,,
Unknown,N/A,22731,N/A,116,0.51%,80,0.35%,,,
,,,,,,,,,,
Total,"475,609",88382,1858.29,2249,2.54%,1008,1.14%,,,
