,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",3804,392.87,15,0.39%,0,0.00%,,,
18-44,"173,546",17000,979.57,134,0.79%,9,0.05%,,,
45-64,"116,740",8941,765.89,233,2.61%,46,0.51%,,,
65-74,"40,633",2488,612.31,158,6.35%,77,3.09%,,,
75+,"28,440",1785,627.64,251,14.06%,194,10.87%,,,
,,,,,,,,,,
Females,242211,17838,736.47,396,2.22%,133,0.75%,,,
Males,228102,15834,694.16,393,2.48%,193,1.22%,,,
Unknown,N/A,346,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,306,271.11,8,2.61%,2,0.65%,,,
Black,41858,2298,549.00,102,4.44%,27,1.17%,,,
White,404469,22895,566.05,646,2.82%,252,1.10%,,,
Hawaiian/Pacific Islander,470,42,893.62,4,9.52%,1,2.38%,,,
Other ,12229,972,794.83,15,1.54%,3,0.31%,,,
Unknown,N/A,7505,N/A,16,0.21%,41,0.55%,,,
,,,,,,,,,,
Hispanic,20694,1754,847.59,55,3.14%,9,0.51%,,,
Non-Hispanic,449619,20707,460.55,710,3.43%,272,1.31%,,,
Unknown,N/A,11557,N/A,26,0.22%,45,0.39%,,,
,,,,,,,,,,
Total,"470,313",34018,723.31,791,2.33%,326,0.96%,,,
