,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5715,590.23,27,0.47%,0,0.00%,,,
18-44,"173,546",23220,1337.97,168,0.72%,11,0.05%,,,
45-64,"116,740",12526,1072.98,343,2.74%,81,0.65%,,,
65-74,"40,633",3537,870.47,287,8.11%,131,3.70%,,,
75+,"28,440",2557,899.09,451,17.64%,320,12.51%,,,
,,,,,,,,,,
Females,242211,25187,1039.88,646,2.56%,245,0.97%,,,
Males,228102,22006,964.74,626,2.84%,298,1.35%,,,
Unknown,N/A,362,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,573,507.66,13,2.27%,4,0.70%,,,
Black,41858,3521,841.18,143,4.06%,34,0.97%,,,
White,404469,35888,887.29,1064,2.96%,453,1.26%,,,
Hawaiian/Pacific Islander,470,57,1212.77,4,7.02%,1,1.75%,,,
Other ,12229,1544,1262.57,21,1.36%,3,0.19%,,,
Unknown,N/A,5972,N/A,31,0.52%,48,0.80%,,,
,,,,,,,,,,
Hispanic,20694,2592,1252.54,70,2.70%,10,0.39%,,,
Non-Hispanic,449619,35325,785.67,1152,3.26%,467,1.32%,,,
Unknown,N/A,9638,N/A,54,0.56%,66,0.68%,,,
,,,,,,,,,,
Total,"470,313",47555,1011.14,1276,2.68%,543,1.14%,,,
