,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,97087,6407,659.92,28,0.44%,0,0.00%,,
18-44,183183,25285,1380.31,193,0.76%,14,0.06%,,
45-64,116628,13514,1158.73,401,2.97%,101,0.75%,,
65-74,46724,3760,804.73,319,8.48%,147,3.91%,,
75+,31987,2637,824.40,481,18.24%,388,14.71%,,
,,,,,,,,,
Females,244460,27278,1115.85,715,2.62%,292,1.07%,,
Males,231149,23992,1037.95,704,2.93%,358,1.49%,,
Unknown,N/A,333,N/A,3,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11737,625,532.50,15,2.40%,6,0.96%,,
Black,42291,3961,936.61,165,4.17%,46,1.16%,,
White,408000,39422,966.23,1183,3.00%,566,1.44%,,
Hawaiian/Pacific Islander,585,65,1111.11,4,6.15%,0,0.00%,,
Other ,12996,1806,1389.66,23,1.27%,4,0.22%,,
Unknown,N/A,5724,N/A,32,0.56%,28,0.49%,,
,,,,,,,,,
Hispanic,22336,2781,1245.08,74,2.66%,6,0.22%,,
Non-Hispanic,453273,39494,871.31,1288,3.26%,584,1.48%,,
Unknown,N/A,9328,N/A,60,0.64%,60,0.64%,,
,,,,,,,,,
Total,"475,609",51603,1084.99,1422,2.76%,650,1.26%,,
