,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5766,595.50,27,0.47%,0,0.00%,,,
18-44,"173,546",23368,1346.50,168,0.72%,10,0.04%,,,
45-64,"116,740",12606,1079.84,345,2.74%,80,0.63%,,,
65-74,"40,633",3571,878.84,291,8.15%,139,3.89%,,,
75+,"28,440",2570,903.66,452,17.59%,364,14.16%,,,
,,,,,,,,,,
Females,242211,25370,1047.43,647,2.55%,271,1.07%,,,
Males,228102,22169,971.89,632,2.85%,322,1.45%,,,
Unknown,N/A,342,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,579,512.98,13,2.25%,5,0.86%,,,
Black,41858,3553,848.82,143,4.02%,35,0.99%,,,
White,404469,36205,895.12,1070,2.96%,522,1.44%,,,
Hawaiian/Pacific Islander,470,57,1212.77,4,7.02%,0,0.00%,,,
Other ,12229,1551,1268.30,22,1.42%,3,0.19%,,,
Unknown,N/A,5936,N/A,31,0.52%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2605,1258.82,71,2.73%,6,0.23%,,,
Non-Hispanic,449619,35764,795.43,1159,3.24%,530,1.48%,,,
Unknown,N/A,9512,N/A,53,0.56%,57,0.60%,,,
,,,,,,,,,,
Total,"470,313",47881,1018.07,1283,2.68%,593,1.24%,,,
