,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,14393,1482.48,50,0.35%,0,0.00%
18-44,183183,39117,2135.41,287,0.73%,43,0.11%
45-64,116628,20472,1755.32,631,3.08%,211,1.03%
65-74,46724,5582,1194.68,519,9.30%,241,4.32%
75+,31987,3762,1176.10,702,18.66%,498,13.24%
,,,,,,,
Females,244460,44173,1806.96,1093,2.47%,439,0.99%
Males,231149,38455,1663.65,1093,2.84%,554,1.44%
Unknown,N/A,698,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,900,766.81,20,2.22%,7,0.78%
Black,42291,6864,1623.04,263,3.83%,91,1.33%
White,408000,60656,1486.67,1814,2.99%,857,1.41%
Hawaiian/Pacific Islander,585,96,1641.03,5,5.21%,1,1.04%
Other ,12996,4120,3170.21,38,0.92%,6,0.15%
Unknown,N/A,10690,N/A,49,0.46%,31,0.29%
,,,,,,,
Hispanic,22336,3689,1651.59,92,2.49%,13,0.35%
Non-Hispanic,453273,59849,1320.37,1987,3.32%,901,1.51%
Unknown,N/A,19788,N/A,110,0.56%,79,0.40%
,,,,,,,
Total,"475,609",83326,1751.99,2189,2.63%,993,1.19%
