,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1651,170.51,11,0.67%,0,0.00%,,,
18-44,"173,546",8642,497.97,120,1.39%,5,0.06%,,,
45-64,"116,740",3553,304.35,168,4.73%,23,0.65%,,,
65-74,"40,633",963,237.00,89,9.24%,28,2.91%,,,
75+,"28,440",625,219.76,120,19.20%,69,11.04%,,,
,,,,,,,,,,
Females,242211,8040,331.94,266,3.31%,42,0.52%,,,
Males,228102,7278,319.07,240,3.30%,83,1.14%,,,
Unknown,N/A,116,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,160,141.76,4,2.50%,0,0.00%,,,
Black,41858,1325,316.55,85,6.42%,17,1.28%,,,
White,404469,11450,283.09,393,3.43%,103,0.90%,,,
Hawaiian/Pacific Islander,470,32,680.85,4,12.50%,0,0.00%,,,
Other ,12229,565,462.02,13,2.30%,2,0.35%,,,
Unknown,N/A,1902,N/A,9,0.47%,3,0.16%,,,
,,,,,,,,,,
Hispanic,20694,1367,660.58,49,3.58%,4,0.29%,,,
Non-Hispanic,449619,11688,259.95,448,3.83%,111,0.95%,,,
Unknown,N/A,2379,N/A,11,0.46%,10,0.42%,,,
,,,,,,,,,,
Total,"470,313",15434,328.16,508,3.29%,125,0.81%,,,
