,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,14188,1461.37,50,0.35%,0,0.00%
18-44,183183,38479,2100.58,280,0.73%,41,0.11%
45-64,116628,20167,1729.17,610,3.02%,203,1.01%
65-74,46724,5500,1177.13,510,9.27%,236,4.29%
75+,31987,3703,1157.66,688,18.58%,481,12.99%
,,,,,,,
Females,244460,43457,1777.67,1068,2.46%,428,0.98%
Males,231149,37881,1638.81,1067,2.82%,533,1.41%
Unknown,N/A,699,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,873,743.80,20,2.29%,7,0.80%
Black,42291,6791,1605.78,257,3.78%,88,1.30%
White,408000,59654,1462.11,1774,2.97%,830,1.39%
Hawaiian/Pacific Islander,585,93,1589.74,4,4.30%,0,0.00%
Other ,12996,4047,3114.04,37,0.91%,6,0.15%
Unknown,N/A,10579,N/A,46,0.43%,30,0.28%
,,,,,,,
Hispanic,22336,3660,1638.61,91,2.49%,13,0.36%
Non-Hispanic,453273,59045,1302.64,1945,3.29%,871,1.48%
Unknown,N/A,19332,N/A,102,0.53%,77,0.40%
,,,,,,,
Total,"475,609",82037,1724.88,2138,2.61%,961,1.17%
