,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",834,86.13,9,1.08%,0,0.00%,,,
18-44,"173,546",5171,297.96,88,1.70%,5,0.10%,,,
45-64,"116,740",1740,149.05,105,6.03%,16,0.92%,,,
65-74,"40,633",445,109.52,41,9.21%,14,3.15%,,,
75+,"28,440",293,103.02,61,20.82%,29,9.90%,,,
,,,,,,,,,,
Females,242211,4393,181.37,157,3.57%,24,0.55%,,,
Males,228102,4038,177.03,147,3.64%,40,0.99%,,,
Unknown,N/A,52,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,103,91.26,2,1.94%,0,0.00%,,,
Black,41858,897,214.30,62,6.91%,10,1.11%,,,
White,404469,6078,150.27,220,3.62%,45,0.74%,,,
Hawaiian/Pacific Islander,470,24,510.64,4,16.67%,0,0.00%,,,
Other ,12229,401,327.91,9,2.24%,2,0.50%,,,
Unknown,N/A,980,N/A,7,0.71%,7,0.71%,,,
,,,,,,,,,,
Hispanic,20694,1079,521.41,46,4.26%,5,0.46%,,,
Non-Hispanic,449619,6259,139.21,250,3.99%,48,0.77%,,,
Unknown,N/A,1145,N/A,8,0.70%,11,0.96%,,,
,,,,,,,,,,
Total,"470,313",8483,180.37,304,3.58%,64,0.75%,,,
